subj,session,trial,rt,object_response,category,condition,imagename
AlexNet_topK_30,1,1,NaN,knife,airplane,NaN,airplane1-bicycle2.png
AlexNet_topK_30,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png
AlexNet_topK_30,1,3,NaN,cat,airplane,NaN,airplane1-clock1.png
AlexNet_topK_30,1,4,NaN,boat,airplane,NaN,airplane1-elephant1.png
AlexNet_topK_30,1,5,NaN,bear,airplane,NaN,airplane10-airplane1.png
AlexNet_topK_30,1,6,NaN,chair,airplane,NaN,airplane10-bear3.png
AlexNet_topK_30,1,7,NaN,oven,airplane,NaN,airplane10-boat3.png
AlexNet_topK_30,1,8,NaN,chair,airplane,NaN,airplane10-car3.png
AlexNet_topK_30,1,9,NaN,elephant,airplane,NaN,airplane10-cat2.png
AlexNet_topK_30,1,10,NaN,chair,airplane,NaN,airplane10-dog3.png
AlexNet_topK_30,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png
AlexNet_topK_30,1,12,NaN,dog,airplane,NaN,airplane10-knife3.png
AlexNet_topK_30,1,13,NaN,chair,airplane,NaN,airplane10-oven2.png
AlexNet_topK_30,1,14,NaN,chair,airplane,NaN,airplane10-truck1.png
AlexNet_topK_30,1,15,NaN,elephant,airplane,NaN,airplane2-bear1.png
AlexNet_topK_30,1,16,NaN,cat,airplane,NaN,airplane2-bicycle1.png
AlexNet_topK_30,1,17,NaN,bear,airplane,NaN,airplane2-bird3.png
AlexNet_topK_30,1,18,NaN,cat,airplane,NaN,airplane2-bottle1.png
AlexNet_topK_30,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png
AlexNet_topK_30,1,20,NaN,knife,airplane,NaN,airplane2-dog1.png
AlexNet_topK_30,1,21,NaN,oven,airplane,NaN,airplane3-airplane2.png
AlexNet_topK_30,1,22,NaN,chair,airplane,NaN,airplane3-car1.png
AlexNet_topK_30,1,23,NaN,oven,airplane,NaN,airplane3-cat1.png
AlexNet_topK_30,1,24,NaN,chair,airplane,NaN,airplane3-chair3.png
AlexNet_topK_30,1,25,NaN,cat,airplane,NaN,airplane3-clock1.png
AlexNet_topK_30,1,26,NaN,elephant,airplane,NaN,airplane3-dog1.png
AlexNet_topK_30,1,27,NaN,bicycle,airplane,NaN,airplane3-elephant1.png
AlexNet_topK_30,1,28,NaN,cat,airplane,NaN,airplane3-keyboard2.png
AlexNet_topK_30,1,29,NaN,cat,airplane,NaN,airplane3-oven1.png
AlexNet_topK_30,1,30,NaN,chair,airplane,NaN,airplane4-airplane1.png
